zcta19,any_open_park,count_open_parks,count_open_parks_tc10,count_open_parks_tc5,count_open_parks_tc3,zcta_area,zcta_area_sqmiles,tot_park_area,tot_park_area_sqmiles,prop_park_area_zcta
"43451",1,2,2,2,2,63641861,24.57226,124143.5,.0479321,.0019507
"43452",1,11,"10 or more","5 or more","3 or more",1.352e+08,52.21804,3809591,1.470891,.0281683
"43456",0,0,0,0,0,10324725,3.986399,0,0,0
"43457",0,0,0,0,0,48004694,18.53472,0,0,0
"43458",0,0,0,0,0,2613729,1.009166,0,0,0
"43460",1,3,3,3,"3 or more",7975217,3.079248,111596.1,.0430875,.0139929
"43462",1,1,1,1,1,66589455,25.71033,138005.4,.0532842,.0020725
"43463",0,0,0,0,0,19414,.0074958,0,0,0
"43464",0,0,0,0,0,98429318,38.00377,0,0,0
"43465",1,3,3,3,"3 or more",28601634,11.04315,87457.44,.0337675,.0030578
"43466",0,0,0,0,0,71873219,27.7504,0,0,0
"43467",0,0,0,0,0,898186,.3467916,0,0,0
"43468",0,0,0,0,0,1861412,.7186952,0,0,0
"97824",1,1,1,1,1,5.659e+08,218.5019,3.03e+08,117.0624,.5357499
"97825",1,2,2,2,2,6.424e+08,248.0179,2.41e+08,93.23312,.3759128
"97826",0,0,0,0,0,8.227e+08,317.6579,0,0,0
"97827",1,2,2,2,2,5.331e+08,205.8358,6.45e+07,24.88597,.1209021
"97828",1,2,2,2,2,1.907e+09,736.2251,6.21e+08,239.6416,.3255004
"97830",1,1,1,1,1,1.554e+09,599.9044,1.28e+07,4.956551,.0082622
"97833",1,1,1,1,1,2.282e+08,88.08972,3.23e+07,12.46705,.1415267
"97834",1,1,1,1,1,5.411e+08,208.9047,3.51e+08,135.7094,.6496238
"97835",0,0,0,0,0,4.872e+08,188.126,0,0,0
"97836",1,1,1,1,1,2.400e+09,926.8011,1.52e+08,58.74842,.0633884
"97837",1,1,1,1,1,3.106e+08,119.9061,2.33e+07,9.003415,.0750872
"97838",1,14,"10 or more","5 or more","3 or more",4.542e+08,175.3752,1.47e+07,5.694546,.0324706
"97839",0,0,0,0,0,5.182e+08,200.0957,0,0,0
"97840",1,1,1,1,1,3.061e+08,118.1781,4.19e+07,16.1618,.136758
"97841",0,0,0,0,0,49834198,19.24109,0,0,0
"97842",1,1,1,1,1,1.803e+09,696.1526,1.62e+09,624.978,.89776
"97843",0,0,0,0,0,9.296e+08,358.9396,0,0,0
"97844",1,4,4,4,4,1.273e+08,49.15138,2.28e+07,8.81677,.1793799
"97845",1,1,1,1,1,1.684e+08,65.0171,4797025,1.852141,.028487
"97846",1,1,1,1,1,1.954e+09,754.413,1.16e+09,448.8757,.595
"97848",1,1,1,1,1,4.900e+08,189.1961,1.99e+07,7.698777,.0406921
"97850",1,14,"10 or more","5 or more","3 or more",7.504e+08,289.737,9.25e+07,35.71701,.1232739
"97856",1,2,2,2,2,1.118e+09,431.4873,1.48e+08,57.15741,.132466
"97857",1,1,1,1,1,6.982e+08,269.5616,5.34e+08,206.2739,.76522
"97859",1,1,1,1,1,2.076e+08,80.15403,5.26e+07,20.32689,.2535979
"97862",1,4,4,4,4,7.120e+08,274.9127,9.07e+07,35.03841,.1274529
"97864",1,2,2,2,2,8.456e+08,326.4887,2.38e+08,91.73393,.2809712
"97865",1,1,1,1,1,9.892e+08,381.927,3.96e+08,153.0305,.40068
"97867",1,1,1,1,1,3.535e+08,136.5017,4.11e+07,15.86505,.116226
"97868",1,2,2,2,2,1.146e+09,442.3531,2.60e+07,10.02262,.0226575
"97869",1,1,1,1,1,8.900e+08,343.6198,5.36e+08,206.8098,.6018566
"97870",1,1,1,1,1,3.503e+08,135.2665,2.03e+07,7.848194,.0580202
"97873",1,1,1,1,1,1.980e+08,76.44609,8.03e+07,30.98633,.4053357
"97874",1,1,1,1,1,5.933e+08,229.0882,2.48e+07,9.594123,.0418796
"97875",1,6,6,"5 or more","3 or more",1.625e+08,62.75326,100244.1,.0387045,.0006168
"97876",1,2,2,2,2,1.637e+08,63.18774,3.19e+07,12.31255,.1948566
"97877",1,3,3,3,"3 or more",5.263e+08,203.1919,4.78e+08,184.6592,.9087925
"97880",1,2,2,2,2,8.107e+08,313.0232,2.95e+08,113.8957,.3638572
"97882",1,19,"10 or more","5 or more","3 or more",69219737,26.72589,3687638,1.423805,.0532744
"97883",1,1,1,1,1,6.937e+08,267.8316,4.16e+08,160.694,.5999815
"94118",1,14,"10 or more","5 or more","3 or more",5106916,1.971791,983397.9,.379692,.192562
"94121",1,22,"10 or more","5 or more","3 or more",8041322,3.104772,3600741,1.390254,.4477797
"94122",1,12,"10 or more","5 or more","3 or more",6124850,2.364818,128037.1,.0494354,.0209045
"94123",1,8,8,"5 or more","3 or more",2865319,1.106306,517547.9,.1998264,.1806249
"94124",1,39,"10 or more","5 or more","3 or more",15566270,6.01017,1675620,.6469603,.1076443
"94127",1,26,"10 or more","5 or more","3 or more",4595088,1.774173,349001.2,.1347501,.0759509
"94128",0,0,0,0,0,9128782,3.524642,0,0,0
"94129",1,11,"10 or more","5 or more","3 or more",5983088,2.310083,6013731,2.321914,1
"94130",1,5,5,"5 or more",5,2281287,.8808098,548626.9,.2118261,.2404901
"94131",1,33,"10 or more","5 or more","3 or more",5430346,2.096668,1113748,.4300203,.205097
"94132",1,24,"10 or more","5 or more","3 or more",9353632,3.611458,3436051,1.326667,.3673494
"39531",1,5,5,"5 or more",5,20096214,7.759192,277577.5,.1071733,.0138124
"42409",0,0,0,0,0,2.257e+08,87.12823,0,0,0
"42410",1,2,2,2,2,7103756,2.742775,24276.77,.0093733,.0034175
"48755",0,0,0,0,0,1.515e+08,58.51025,0,0,0
"42411",0,0,0,0,0,2.267e+08,87.52267,0,0,0
"42413",1,1,1,1,1,1.362e+08,52.60271,744.6821,.0002875,5.47e-06
"48756",1,1,1,1,1,2.072e+08,80.00945,2169998,.8378409,.0104718
"48757",0,0,0,0,0,1.428e+08,55.11907,0,0,0
"39532",1,4,4,4,4,2.162e+08,83.45934,222008.6,.085718,.0010271
"39534",0,0,0,0,0,4188824,1.617314,0,0,0
"48759",0,0,0,0,0,1.332e+08,51.42155,0,0,0
"39540",1,1,1,1,1,13196642,5.095252,40433.84,.0156116,.0030639
"48760",0,0,0,0,0,72753929,28.09045,0,0,0
"48761",1,1,1,1,1,2.294e+08,88.57901,1.59e+08,61.34805,.69258
"48762",0,0,0,0,0,1.170e+08,45.16571,0,0,0
"39553",1,3,3,3,"3 or more",73485583,28.37294,1804643,.6967766,.0245578
"42420",1,11,"10 or more","5 or more","3 or more",5.113e+08,197.4121,3513265,1.356479,.0068713
"39556",0,0,0,0,0,2.761e+08,106.5962,0,0,0
"48763",1,9,9,"5 or more","3 or more",2.534e+08,97.82027,3.94e+07,15.22987,.1556924
"48765",1,1,1,1,1,1.459e+08,56.3134,7265477,2.805216,.0498144
"48766",1,1,1,1,1,1.363e+08,52.60699,2.00e+07,7.728367,.1469076
"39560",1,1,1,1,1,58057518,22.41613,50291.76,.0194178,.0008662
"48767",0,0,0,0,0,2.197e+08,84.82284,0,0,0
